classes,Recall,F1-score,Precision,F1_score
AKIEDC,0.53,0.62,0.74,
BCC,0.7,0.75,0.8,
BKL,0.83,0.63,0.51,
DF,0.61,0.67,0.73,
MEL,0.62,0.51,0.43,
NV,0.75,0.83,0.94,
VASC,0.86,0.76,0.68,
Accuracy,0.73,,,
Specificity,0.73,,,
