classes,Recall,F1-score,Precision,F1_score
AKIEDC,0.63,0.69,0.77,
BCC,0.76,0.78,0.81,
BKL,0.82,0.77,0.72,
DF,0.55,0.7,0.96,
MEL,0.67,0.64,0.61,
NV,0.9,0.91,0.91,
VASC,0.69,0.79,0.92,
Accuracy,0.83,,,
Specificity,0.83,,,
