classes,Recall,F1-score,Precision,F1_score
AKIEDC,0.53,0.5,0.47,
BCC,0.69,0.75,0.82,
BKL,0.76,0.76,0.75,
DF,0.64,0.72,0.82,
MEL,0.56,0.61,0.66,
NV,0.93,0.91,0.88,
VASC,0.71,0.79,0.89,
Accuracy,0.83,,,
Specificity,0.83,,,
