classes,Recall,F1-score,Precision,F1_score
AKIEDC,0.47,0.56,0.71,
BCC,0.77,0.8,0.83,
BKL,0.8,0.73,0.67,
DF,0.57,0.68,0.86,
MEL,0.71,0.62,0.54,
NV,0.86,0.89,0.91,
VASC,0.69,0.79,0.92,
Accuracy,0.81,,,
Specificity,0.81,,,
